MEADOWS,MDWS
MEDOWS,MDWS
MILL,ML
MILLS,MLS
MISSION,MSN
MISSN,MSN
ML,ML
MLS,MLS
MNR,MNR
MNRS,MNR
MNTAIN,MTN
MNT,MT
MNTN,MTN
MNTNS,MTN
MOUNTAIN,MTN
MOUNTAINS,MTN
MOUNTIN,MTN
MOUNT,MT
MSN,MSN
MSSN,MSN
MTIN,MTN
MT,MT
MTN,MTN
NCK,NCK
NECK,NCK
ORCHARD,ORCH
ORCH,ORCH
ORCHRD,ORCH
OVAL,OVAL
OVL,OVAL
PARK,PARK
PARKS,PARK
PARKWAY,PKY
PARKWAYS,PKY
PARKWY,PKY
PASS,PASS
PATH,PATH
PATHS,PATH
PIKE,PIKE
PIKES,PIKE
PINE,PNES
PINES,PNES
PK,PARK
PKWAY,PKY
PKWY,PKY
PKWYS,PKY
PKY,PKY
PLACE,PL
PLAINES,PLNS
PLAIN,PLN
PLAINS,PLNS
PLAZA,PLZ
PLN,PLN
PLNS,PLNS
PL,PL
PLZA,PLZ
PLZ,PLZ
PNES,PNES
POINT,PT
POINTS,PT
PORT,PRT
PORTS,PRT
PRAIRIE,PR
PRARIE,PR
PRK,PARK
PR,PR
PRR,PR
PRT,PRT
PRTS,PRT
PT,PT
PTS,PT
RADIAL,RADL
RADIEL,RADL
RADL,RADL
RAD,RADL
RANCHES,RNCH
RANCH,RNCH
RAPID,RPDS
RAPIDS,RPDS
RDGE,RDG
RDG,RDG
RDGS,RDG
RD,RD
RDS,RD
REST,RST
RIDGE,RDG
RIDGES,RDG
RIVER,RIV
RIV,RIV
RIVR,RIV
RNCH,RNCH
RNCHS,RNCH
ROAD,RD
ROADS,RD
ROW,ROW
RPD,RPDS
RPDS,RPDS
RST,RST
RUN,RUN
RVR,RIV
SHL,SHL
SHLS,SHLS
SHOAL,SHL
SHOALS,SHLS
SHOAR,SHR
SHOARS,SHRS
SHORE,SHR
SHORES,SHRS
SHR,SHR
SHRS,SHRS
SMT,SMT
SPG,SPG
SPGS,SPGS
SPNG,SPG
SPNGS,SPGS
SPRING,SPG
SPRINGS,SPGS
SPRNG,SPG
SPRNGS,SPGS
SPUR,SPUR
SPURS,SPUR
SQRE,SQ
SQR,SQ
SQ,SQ
SQUARE,SQ
SQUARES,SQ
SQU,SQ
STA,STA
STATION,STA
STATN,STA
STN,STA
STRA,STRA
STRAVEN,STRA
STRAVENUE,STRA
STRAVE,STRA
STRAVN,STRA
STRAV,STRA
STREAM,STRM
STREETS,ST
STREET,ST
STREME,STRM
STRM,STRM
STR,ST
STRT,ST
STRVN,STRA
STRVNUE,STRA
ST,ST
SUMIT,SMT
SUMITT,SMT
SUMMIT,SMT
TERRACE,TER
TERR,TER
TER,TER
TPKE,TPKE
TPK,TPKE
TRACES,TRCE
TRACE,TRCE
TRACKS,TRAK
TRACK,TRAK
TRAFFICWAY,TRFY
TRAILS,TRL
TRAIL,TRL
TRAK,TRAK
TRCE,TRCE
TRFY,TRFY
TRKS,TRAK
TRK,TRAK
TRLS,TRL
TRL,TRL
TRNPK,TPKE
TR,TRL
TUNEL,TUNL
TUNLS,TUNL
TUNL,TUNL
TUNNELS,TUNL
TUNNEL,TUNL
TUNNL,TUNL
TURNPIKE,TPKE
TURNPK,TPKE
UNIONS,UN
UNION,UN
UN,UN
VALLEYS,VLY
VALLEY,VLY
VALLY,VLY
VDCT,VIA
VIADCT,VIA
VIADUCT,VIA
VIA,VIA
VIEWS,VW
VIEW,VW
VILLAGES,VLG
VILLAGE,VLG
VILLAG,VLG
VILLE,VL
VILLG,VLG
VILLIAGE,VLG
VILL,VLG
VISTA,VIS
VIST,VIS
VIS,VIS
VLGS,VLG
VLG,VLG
VLLY,VLY
VL,VL
VLYS,VLY
VLY,VLY
VSTA,VIS
VST,VIS
VWS,VW
VW,VW
WALKS,WALK
WALK,WALK
WAYS,WAY
WAY,WAY
WELLS,WLS
WELL,WLS
WLS,WLS
WY,WAY
XING,XING
